num,summary,grade,review
134,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,"시우민이 착용했다해서 구매했었어요. 
5월에 온다해서 덥지 않을까했는데 얇아서 초여름까지 잘 입을것 같아요"
135,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,진짜 좋아요!! 길이도 적당하고 소매가 조금 짧은 감이 있지만 좋습니다>.< S사길 잘한거 같아요!!
136,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,예쁘고 편해요! 그렇게 두껍지 않아서 초여름까지 입을 듯 합니당
137,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,너무 예쁘고 또 너무 편해요! 잘입겠습니다 감사합니다:)
138,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,이불밖은위험해 예고편에서 시우민이 입은것을 보고 샀습니다 >.< 재질도 좋고 시원한 재질이라 여름에도 입고 잘수있을것 같아요 감사합니다~!
139,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,시우민이 입어서 샀습니당 160 이하 아니시면 여성용 M 사도 될 것 같아요
140,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,"옷이 생각보다 얇고 시원해요.
그리고 너무 만족스러워서 다른 제품들도 사보려구요ㅎㅎ"
141,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,완전 편하고 얇아서 봄 초여름 가을 까지 입을수 있어요 이뻐요 많이 파세요!
142,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,"그냥 민석이가 입었다고해서 일단 사고본건데
입어보니까 되게 보들보들해서 잘때 편하고 좋아요."
143,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,시우민입어서삼  시우민이입어서 삼요시우민이 이불밖은위험해에서 입음시우민입어서 산 잠옷 잠옷샀는데 좋아요 아 잠옷
144,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),4,잘받았어요 이  불  밖   은   위  험  해  에  서  보  고  주  문  했  어  요 .  재  고  가  없  어  서 오  래  걸  려  받  았  지  만   맘  에  들  어   요.
145,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,S가 딱 맞았을 것 같지만 M도 낙낙하고 편하게 입을 수 있을 것 같네요. 여름에 입기 좋은 두께감이에요. 감사합니다. :)
146,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,"민석이가 입은 것 보고 주문했어요
생각보다 넘 편하고 몸에도 맞아 예쁩니다
예쁜 잠옷 감사해요"
147,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,"시우민이 입어서 샀는데 이뻐요
좋아요
잘샀어요
화이팅
시우민 "
148,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,손꼽아 기다렸던 제품입니다 ㅠㅠㅠ 더워져서 못 입지만 올 가을에 잘 입을게요 ㅠㅠㅠ! 
149,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,너무 예뻐요...시우민덕분에 좋은 잠옷 산것같네여ㅜㅠ
150,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,예쁘고 편해요 얇아서 지금 입어도 덥거나 갑갑하지않아요 
151,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,선물했는데 좋다고 하네요
152,,5,너무너무 부드럽고 예뻐요! 너무너무 만족합니당
153,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,S샀더니 조금 길이가 짧네요 옷은 이뻐용
154,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,164cm에 66사이즈 입는데 찰떡이에요..!
155,,5,감사합니다~ 무사히 잘 도착했어요~! ^^ 예쁘게 잘 입을게요~!
156,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,면도 너무 좋고 사이즈도 딱이네요!너무 이뻐요
157,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,아이가 좋아해요
158,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,옷이 이뻐요 배송잘도착했습니다
159,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,이쁘고 편해용!
160,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,핏도 잘맞고 엄마도 예쁘다해꼬 동생도예쁘다하고 고양이도 예쁘다고 해줍니다
161,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,시우민이 입었던 잠옷이라 구매했는데 너무 편하고 예쁩니다 
162,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,시우민 때문에 샀는데 촉감도 좋고 갑자기 쌀쌀해진 요즘에 너무 잘입고있어서 만족합니다~:)
163,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),4,잘받았어요 이  불   밖  은  위  험  해  에  서  보  고  주  문  했  어  요 ..
164,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,옷은 좋은데 배송이 늦어서
165,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,여름에도 편하게 입을수 있을것 같네요 예뻐요
166,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66),5,옷도 부들부들하고 너무 좋아요~~ 다음에도 또 살게요!
167,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,편하고 좋아요!!
168,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,배송 짱빨라요..
169,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,너무 이뻐요!
170,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,감사합니다~ 예쁘게 입을께요 히히
171,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,"우체국택배로 잘 배송받았습니다.
여성용 S사이즈가 타사제품 남성용 90정도 되는듯해요"
172,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66),5,만족해용.
173,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,시우민이 입은거 보고 예뻐서 샀는데 실물도 예쁘네요ㅎㅎ
174,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,좋아요.추천합니다!
175,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,예뻐요~ 보들보들하구요! 감사합니다
176,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,시우민이 입어서 샀는데 괜찮네요! 만족!!!
177,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,너무맘에들어요 매일입고잇어요 ><
178,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,편하고 좋음
179,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,시우민 때문에 산 잠옷 고급스럽고 넘넘 예뻐줍니다 
200,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,사장님 짱입니다!
201,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,아직 실물은 못봤지만 이쁠거같아요!
202,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,넉넉하게 m시켯는데 s 시켜도 괜찮았을꺼 ㄱ같아요!
203,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,예쁩니다 역시 시우민의 안목 완벽합니다
204,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,만족합니다
205,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,얇고 좋아요!!
206,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,시우민 잠옷 잘 받았습니다^_^
207,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,만족합니다 
208,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,너무 이뻐요!!-!  고맙습니다 ♥ 
209,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,아주 이쁩니다
210,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,잘받았습니다.^^
211,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,너무 예뻐요
212,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,시우민이랑가튼옷죠으다
213,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,아주만족해요ㅠㅠㅠ
214,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,예쁘고 맘에들어요
215,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,너무 좋아요!
216,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,잘받았어요
217,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,잘받았어요
218,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,아주 좋아요 짱짱bb
219,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,아주 좋아요 굿....
220,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,너무 편해요>.<!!
221,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,잘 입을게여
222,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,너무 좋아요~~
223,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77) (4월 30일 배송예정),5,이뻐요 ㅎㅎ
224,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,만족 ~~
225,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,큐티 프리티 시우민이 입어서 샀는데 잠옷 편안하고 좋아요! 네이비 스트라이프라 예쁩니다. 잘 입을게요!
226,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,너무너무 예뻐요ㅠㅠ
227,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,너무너무너무 좋아요
228,사이즈: 네이비펜실S.T 긴팔세트 S (55.5~66) (4월 30일 배송예정),5,좋습니당ㅋㅋ
229,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,편하고 좋아요~~~
230,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,빠른배송에 부들부들한 촉감과 착용감도 최고네요 많이 파세요~~^^
231,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,강추! 선물로 샀는데 받은 사람이 넘 좋아하네요. 이쁘고 편하다고. 근데 좀 빳빳해서 세탁을 한번 하고 입는걸 추천합니다. 그뤠잇~
232,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,엄마 선물로  사드렸는데  너무 맘에들어하셔서  좋아요  배송도  빠르고  옷감 재질도 좋아요  사이즈도  정사이즈로  나온것같아요  암튼 좋은 가격에  좋은 잠옷 산 것 같아요!
233,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,편하고 이뻐요
234,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),5,최고 엄마 선물로  사드렸는데  너무 좋아하셔서  좋으네요  착한 가격에  좋은 재질  배송도  빠르고  암튼 넘 잘산것 같아요
235,사이즈: 네이비펜실S.T 긴팔세트 M (66.5~77),3,옷은좋은데 겨울용은아니네요ㅜㅜ
