num,summary,grade,review
38,"색상: (10)WHITE / 사이즈: XL(105)
체형남성181cm85kg상의 XL사이즈약간 커요 (총 기장)핏슬림해요착용감편해요",5,"안에 이너웨어로 구매한건데 기장이 길어서
저는 딱 좋은것같아여
재질도 입었을때 까끌까끌안하고 괜찮은듯요~^^"
39,"색상: (10)WHITE / 사이즈: XL(105)
체형160cm49kg상의 S사이즈잘 맞아요핏적당해요착용감편해요",5,재질도 좋고 사이즈도 딱이네요 레이어드 하기에 길이도 너무 좋습니다.
40,"색상: (10)WHITE / 사이즈: L(100)
체형남성178cm65kg상의 XL보통 어깨팔이 긴 편사이즈잘 맞아요핏적당해요착용감편해요",5,XL 2개구매해서입는데 너무맘에들어서 L사이즈도사봤어요 L도 기장길어서 좋네요!!
41,"색상: (10)WHITE / 사이즈: L(100)
사이즈잘 맞아요핏적당해요착용감편해요",4,딱 레이어드하기 좋은 템입니다. 싸게 잘샀어요
42,"색상: (10)WHITE / 사이즈: L(100)
사이즈잘 맞아요핏적당해요착용감편해요",5,길이도 적당하고 편해요 저렴하게 잘 샀어요
43,"색상: (10)WHITE / 사이즈: L(100)
사이즈잘 맞아요핏오버핏이에요착용감아주 편해요",5,레이아웃하기 정말 좋은 제품이에요 길이도 조금 길어서 딱입니다!!!! 선물로도 하나 더 삿는데 마음에 들어하네요!!!
44,"색상: (10)WHITE / 사이즈: M(095)
체형여성158cm62kg상의 L어깨 넓음팔이 긴 편사이즈잘 맞아요핏적당해요착용감편해요",4,와 총알배송 ㅎ ㅎ 옷재질은 너무좋네요 탄탄해보이고 근데 확실히 길긴길어요ㅋ남녀공용이라 그런지 어차피 레이어드로 입을거라 상관없음
45,"색상: (10)WHITE / 사이즈: L(100)
체형여성163cm52kg상의 S보통 어깨보통 팔길이사이즈잘 맞아요핏적당해요착용감편해요",5,아들 이너로 입을려고 샀는데 좋네요 한팩에 두장에다 가격도 저렴하니 마음에듭니다
46,"색상: (10)WHITE / 사이즈: S(090)
체형163cm53kg상의 M사이즈잘 맞아요핏적당해요착용감아주 편해요",5,레이어드 해서 입기 진짜 정말 딱 좋은 티셔츠네요!!! 길이감도 너무 맘에 들어요
47,"색상: (10)WHITE / 사이즈: XL(105)
사이즈잘 맞아요핏적당해요착용감편해요",5,"레이어드해 입기 좋을 거 같아요.
얇아요.
여름에 입기 좋을 거 같아서 마음에 듭니다.
세탁해보고 괜찮으면 또 구매하고 싶네요."
