summary,grade,review
"상품명: 03.셰퍼드체크 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈약간 커요 (가슴)착용감아주 편해요",5,사이즈가 좀 크긴 한데 라지는 넘 딱 맞을거 같아서 넉넉하게 입으려고 샀어요. 순면이라 좋고 엄청 시원해요. 또 구매하려구요
"상품명: 02.페인체크 반팔세트 / 사이즈: XL(105.5~110)
체형180cm85kg상의 XL원단부드러워요사이즈잘 맞아요착용감아주 편해요",5,"아   좋아요!
긴팔 사려고 지금 보고있는데 없네요
긴옷나오면 구매해야겠어요!"
"상품명: 13.오렌지ST 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,"재구매옷도 딱 좋구요 ,선선하니 좋네요^^"
"상품명: 04.오리엔탈 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,남편이 매우 좋아함
"상품명: 11.클래식그레이 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,재구매반팔이라 활동성 굿!!!
"상품명: 12.클래식블루 반팔세트 / 사이즈: XL(105.5~110)
원단부드러워요사이즈잘 맞아요착용감편해요",5,"남편껄로 주문했는데 사이즈도 맞고 부드럽고 시원해서 입기 좋아요-! 대신 주름이
많이 가네요 ㅠㅠ"
"상품명: 04.오리엔탈 반팔세트 / 사이즈: L(100~105)
체형170cm85kg상의 L하의 33인치사이즈잘 맞아요 (기타)착용감편해요원단보통이에요",5,감사합니다 잘받았습니다
"상품명: 02.페인체크 반팔세트 / 사이즈: M(95)
사이즈잘 맞아요착용감편해요원단보통이에요",5,한달사용기선물로 샀는데 편하고 좋습니다.
"상품명: 02.페인체크 반팔세트 / 사이즈: M(95)
원단부드러워요사이즈잘 맞아요착용감편해요",5,배송도 빠르고 원단이 너무 부드럽네요 바로 세탁했어요
"상품명: 05.블럭ST 반팔세트 / 사이즈: XL(105.5~110)
사이즈잘 맞아요착용감편해요원단보통이에요",5,너무 좋아요 착용감 굿 시원하구요
